coin,buy_price,buy_date,sell_price,sell_date,last_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
STX/USDT,1.833,2024-07-19 04:07:19,1.88,2024-07-19 14:14:40,1.839,2024-07-19 04:00:00,2.4,2.07,Profit Reached,3,2024-07-19 14:14:40
TRU/USDT,0.1356,2024-07-19 04:08:58,0.14,2024-07-19 23:04:59,0.1358,2024-07-19 04:00:00,2.43,2.28,Profit Reached,5,2024-07-19 23:04:59
LEVER/USDT,0.00241,2024-07-19 04:11:26,0.0,2024-07-19 14:07:29,0.002414,2024-07-19 04:00:00,2.28,2.11,Profit Reached,3,2024-07-19 14:07:29
SNT/USDT,0.0252,2024-07-19 04:12:07,0.03,2024-07-19 16:01:19,0.02521,2024-07-19 04:00:00,2.26,2.22,Profit Reached,4,2024-07-19 16:01:19
COMBO/USDT,0.5524,2024-07-19 04:12:08,0.56,2024-07-19 23:52:16,0.5526,2024-07-19 04:00:00,2.1,2.06,Profit Reached,5,2024-07-19 23:52:16
JTO/USDT,2.544,2024-07-19 04:12:33,2.61,2024-07-19 06:24:08,2.554,2024-07-19 04:00:00,2.56,2.15,Profit Reached,1,2024-07-19 06:24:08
PYTH/USDT,0.3428,2024-07-19 04:12:42,0.35,2024-07-19 06:20:38,0.3437,2024-07-19 04:00:00,2.33,2.07,Profit Reached,1,2024-07-19 06:20:38
STRK/USDT,0.569,2024-07-19 04:12:48,0.58,2024-07-19 16:07:51,0.573,2024-07-19 04:00:00,2.81,2.09,Profit Reached,4,2024-07-19 16:07:51
PDA/USDT,0.0715,2024-07-19 04:12:50,0.07,2024-07-20 00:18:16,0.0716,2024-07-19 04:00:00,2.52,2.37,Profit Reached,6,2024-07-20 00:18:16
NKN/USDT,0.0821,2024-07-19 04:15:14,0.08,2024-07-19 19:21:39,0.0822,2024-07-19 04:00:00,2.19,2.07,Profit Reached,4,2024-07-19 19:21:39
VTHO/USDT,0.002733,2024-07-19 04:15:45,0.0,2024-07-19 16:20:06,0.002737,2024-07-19 04:00:00,2.2,2.05,Profit Reached,4,2024-07-19 16:20:06
AKRO/USDT,0.00522,2024-07-19 04:16:39,0.01,2024-07-19 16:03:10,0.005221,2024-07-19 04:00:00,2.13,2.11,Profit Reached,4,2024-07-19 16:03:10
SYS/USDT,0.1116,2024-07-19 04:18:04,0.11,2024-07-19 14:56:04,0.1121,2024-07-19 04:00:00,2.51,2.05,Profit Reached,3,2024-07-19 14:56:04
AUCTION/USDT,15.47,2024-07-19 04:18:17,15.82,2024-07-19 13:56:58,15.5,2024-07-19 04:00:00,2.26,2.06,Profit Reached,3,2024-07-19 13:56:58
KP3R/USDT,58.8,2024-07-19 04:18:24,58.84,2024-07-20 04:00:21,58.85,2024-07-19 04:00:00,0.07,-0.02,Candles Exceeded,7,2024-07-20 04:00:21
POLYX/USDT,0.265,2024-07-19 04:19:22,0.27,2024-07-19 14:42:56,0.2654,2024-07-19 04:00:00,2.19,2.03,Profit Reached,3,2024-07-19 14:42:56
MEME/USDT,0.01601,2024-07-19 04:20:15,0.02,2024-07-19 14:11:48,0.01604,2024-07-19 04:00:00,2.37,2.18,Profit Reached,3,2024-07-19 14:11:48
ORDI/USDT,36.87,2024-07-19 04:20:16,37.71,2024-07-19 16:02:49,36.94,2024-07-19 04:00:00,2.28,2.08,Profit Reached,4,2024-07-19 16:02:49
ACE/USDT,3.132,2024-07-19 04:20:24,3.2,2024-07-19 06:09:21,3.137,2024-07-19 04:00:00,2.17,2.01,Profit Reached,1,2024-07-19 06:09:21
BAND/USDT,1.234,2024-07-19 04:22:58,1.26,2024-07-19 14:11:48,1.237,2024-07-19 04:00:00,2.43,2.18,Profit Reached,3,2024-07-19 14:11:48
DGB/USDT,0.00836,2024-07-19 04:23:31,0.01,2024-07-19 21:22:55,0.00837,2024-07-19 04:00:00,2.15,2.03,Profit Reached,5,2024-07-19 21:22:55
RIF/USDT,0.0907,2024-07-19 04:24:36,0.09,2024-07-19 16:16:49,0.0908,2024-07-19 04:00:00,2.21,2.09,Profit Reached,4,2024-07-19 16:16:49
LQTY/USDT,0.863,2024-07-19 04:49:40,0.88,2024-07-19 17:20:28,0.864,2024-07-19 04:00:00,2.2,2.08,Profit Reached,4,2024-07-19 17:20:28
AEVO/USDT,0.557,2024-07-19 04:50:37,0.56,2024-07-20 04:00:21,0.558,2024-07-19 04:00:00,1.26,1.08,Candles Exceeded,7,2024-07-20 04:00:21
LINA/USDT,0.006067,2024-07-19 04:54:45,0.01,2024-07-19 16:10:45,0.006069,2024-07-19 04:00:00,2.11,2.08,Profit Reached,4,2024-07-19 16:10:45
CLV/USDT,0.05208,2024-07-19 04:55:12,0.05,2024-07-19 16:03:10,0.05212,2024-07-19 04:00:00,2.15,2.07,Profit Reached,4,2024-07-19 16:03:10
AMB/USDT,0.00656,2024-07-19 04:57:08,0.01,2024-07-19 06:40:03,0.00657,2024-07-19 04:00:00,2.29,2.13,Profit Reached,1,2024-07-19 06:40:03
WAN/USDT,0.1991,2024-07-19 05:00:16,0.2,2024-07-19 16:06:51,0.1993,2024-07-19 04:00:00,2.11,2.01,Profit Reached,4,2024-07-19 16:06:51
MANTA/USDT,0.996,2024-07-19 05:05:12,1.02,2024-07-19 06:28:41,0.997,2024-07-19 04:00:00,2.11,2.01,Profit Reached,1,2024-07-19 06:28:41
XRP/USDT,0.5547,2024-07-19 05:06:49,0.57,2024-07-19 14:38:13,0.556,2024-07-19 04:00:00,2.33,2.09,Profit Reached,3,2024-07-19 14:38:13
XAI/USDT,0.3842,2024-07-19 05:12:31,0.39,2024-07-19 15:18:59,0.3843,2024-07-19 04:00:00,2.08,2.06,Profit Reached,3,2024-07-19 15:18:59
CHR/USDT,0.2624,2024-07-19 05:22:36,0.27,2024-07-19 15:21:31,0.2625,2024-07-19 04:00:00,2.1,2.06,Profit Reached,3,2024-07-19 15:21:31
MOVR/USDT,10.897,2024-07-19 05:25:12,11.17,2024-07-19 14:25:40,10.941,2024-07-19 04:00:00,2.53,2.12,Profit Reached,3,2024-07-19 14:25:40
DENT/USDT,0.000958,2024-07-19 06:51:00,0.0,2024-07-19 09:25:22,0.000959,2024-07-19 04:00:00,2.71,2.61,Profit Reached,2,2024-07-19 09:25:22
BADGER/USDT,3.242,2024-07-19 06:52:50,3.31,2024-07-19 14:14:40,3.245,2024-07-19 04:00:00,2.13,2.03,Profit Reached,3,2024-07-19 14:14:40
OOKI/USDT,0.001716,2024-07-19 07:09:34,0.0,2024-07-20 03:26:42,0.001717,2024-07-19 04:00:00,2.1,2.04,Profit Reached,6,2024-07-20 03:26:42
JASMY/USDT,0.02827,2024-07-19 07:16:50,0.03,2024-07-19 14:20:37,0.0283,2024-07-19 04:00:00,2.19,2.08,Profit Reached,3,2024-07-19 14:20:37
RSR/USDT,0.005593,2024-07-19 07:37:01,0.01,2024-07-19 14:20:06,0.005614,2024-07-19 04:00:00,2.52,2.14,Profit Reached,3,2024-07-19 14:20:06
ATA/USDT,0.0994,2024-07-19 07:38:25,0.1,2024-07-19 14:20:06,0.0997,2024-07-19 04:00:00,2.31,2.01,Profit Reached,3,2024-07-19 14:20:06
AMB/USDT,0.00656,2024-07-19 07:40:29,0.01,2024-07-19 15:00:38,0.00657,2024-07-19 04:00:00,2.44,2.28,Profit Reached,3,2024-07-19 15:00:38
ACE/USDT,3.102,2024-07-19 07:41:11,3.21,2024-07-19 13:38:18,3.137,2024-07-19 04:00:00,3.32,2.17,Profit Reached,3,2024-07-19 13:38:18
MANTA/USDT,0.989,2024-07-19 07:41:14,1.02,2024-07-19 14:37:15,0.997,2024-07-19 04:00:00,2.83,2.01,Profit Reached,3,2024-07-19 14:37:15
ONG/USDT,0.3396,2024-07-19 07:50:34,0.35,2024-07-19 09:17:11,0.3397,2024-07-19 04:00:00,2.21,2.18,Profit Reached,2,2024-07-19 09:17:11
DEGO/USDT,1.63,2024-07-19 08:00:16,1.67,2024-07-19 15:05:04,1.633,2024-07-19 08:00:00,2.21,2.02,Profit Reached,2,2024-07-19 15:05:04
C98/USDT,0.1676,2024-07-19 08:00:46,0.17,2024-07-19 14:13:32,0.1678,2024-07-19 08:00:00,2.21,2.09,Profit Reached,2,2024-07-19 14:13:32
GALA/USDT,0.02351,2024-07-19 08:01:08,0.02,2024-07-19 13:56:58,0.02352,2024-07-19 08:00:00,2.08,2.04,Profit Reached,2,2024-07-19 13:56:58
ACH/USDT,0.02477,2024-07-19 08:01:53,0.03,2024-07-19 13:38:18,0.02479,2024-07-19 08:00:00,2.18,2.1,Profit Reached,2,2024-07-19 13:38:18
GLMR/USDT,0.2135,2024-07-19 08:01:55,0.22,2024-07-19 14:08:08,0.2136,2024-07-19 08:00:00,2.11,2.06,Profit Reached,2,2024-07-19 14:08:08
GMT/USDT,0.1543,2024-07-19 08:02:10,0.16,2024-07-19 14:07:29,0.1544,2024-07-19 08:00:00,2.07,2.01,Profit Reached,2,2024-07-19 14:07:29
HOOK/USDT,0.5397,2024-07-19 08:02:31,0.55,2024-07-19 16:02:49,0.5401,2024-07-19 08:00:00,2.43,2.35,Profit Reached,3,2024-07-19 16:02:49
MAGIC/USDT,0.5281,2024-07-19 08:02:32,0.54,2024-07-19 16:02:05,0.5282,2024-07-19 08:00:00,2.18,2.16,Profit Reached,3,2024-07-19 16:02:05
PROS/USDT,0.3743,2024-07-19 08:02:36,0.38,2024-07-19 14:15:16,0.3747,2024-07-19 08:00:00,2.11,2.0,Profit Reached,2,2024-07-19 14:15:16
IO/USDT,2.768,2024-07-19 08:03:53,2.85,2024-07-19 12:35:29,2.793,2024-07-19 08:00:00,3.0,2.08,Profit Reached,2,2024-07-19 12:35:29
DOCK/USDT,0.00662,2024-07-19 08:05:53,0.01,2024-07-19 11:37:45,0.00696,2024-07-19 08:00:00,7.25,2.01,Profit Reached,1,2024-07-19 11:37:45
KSM/USDT,21.77,2024-07-19 08:06:51,22.27,2024-07-19 16:15:34,21.83,2024-07-19 08:00:00,2.3,2.02,Profit Reached,3,2024-07-19 16:15:34
EGLD/USDT,35.32,2024-07-19 08:06:53,36.14,2024-07-19 17:30:17,35.41,2024-07-19 08:00:00,2.32,2.06,Profit Reached,3,2024-07-19 17:30:17
DIA/USDT,0.4169,2024-07-19 08:06:54,0.43,2024-07-19 15:01:06,0.4181,2024-07-19 08:00:00,2.35,2.06,Profit Reached,2,2024-07-19 15:01:06
RUNE/USDT,4.447,2024-07-19 08:06:55,4.54,2024-07-19 13:56:58,4.448,2024-07-19 08:00:00,2.18,2.16,Profit Reached,2,2024-07-19 13:56:58
FIO/USDT,0.02546,2024-07-19 08:06:57,0.03,2024-07-19 14:02:16,0.02553,2024-07-19 08:00:00,2.32,2.04,Profit Reached,2,2024-07-19 14:02:16
GRT/USDT,0.2006,2024-07-19 08:07:26,0.21,2024-07-19 14:08:08,0.2016,2024-07-19 08:00:00,2.64,2.13,Profit Reached,2,2024-07-19 14:08:08
CKB/USDT,0.011332,2024-07-19 08:07:34,0.01,2024-07-19 13:58:58,0.011395,2024-07-19 08:00:00,2.62,2.05,Profit Reached,2,2024-07-19 13:58:58
LIT/USDT,0.751,2024-07-19 08:07:37,0.77,2024-07-19 14:06:51,0.754,2024-07-19 08:00:00,2.53,2.12,Profit Reached,2,2024-07-19 14:06:51
DODO/USDT,0.1182,2024-07-19 08:07:39,0.12,2024-07-19 14:11:12,0.1188,2024-07-19 08:00:00,2.54,2.02,Profit Reached,2,2024-07-19 14:11:12
FORTH/USDT,3.22,2024-07-19 08:07:57,3.29,2024-07-19 12:59:09,3.228,2024-07-19 08:00:00,2.3,2.04,Profit Reached,2,2024-07-19 12:59:09
SHIB/USDT,1.717e-05,2024-07-19 08:08:02,0.0,2024-07-19 14:09:22,1.721e-05,2024-07-19 08:00:00,2.27,2.03,Profit Reached,2,2024-07-19 14:09:22
AR/USDT,29.563,2024-07-19 08:08:05,30.26,2024-07-19 12:48:03,29.648,2024-07-19 08:00:00,2.36,2.06,Profit Reached,2,2024-07-19 12:48:03
POLS/USDT,0.3153,2024-07-19 08:08:06,0.33,2024-07-19 11:34:45,0.318,2024-07-19 08:00:00,3.43,2.55,Profit Reached,1,2024-07-19 11:34:45
PYR/USDT,3.381,2024-07-19 08:09:02,3.47,2024-07-19 14:15:16,3.396,2024-07-19 08:00:00,2.63,2.18,Profit Reached,2,2024-07-19 14:15:16
SPELL/USDT,0.0006635,2024-07-19 08:09:17,0.0,2024-07-19 14:15:16,0.0006702,2024-07-19 08:00:00,3.09,2.06,Profit Reached,2,2024-07-19 14:15:16
JOE/USDT,0.3391,2024-07-19 08:09:18,0.35,2024-07-19 14:11:12,0.3409,2024-07-19 08:00:00,2.65,2.11,Profit Reached,2,2024-07-19 14:11:12
IMX/USDT,1.4805,2024-07-19 08:09:19,1.52,2024-07-19 14:10:37,1.4863,2024-07-19 08:00:00,2.55,2.15,Profit Reached,2,2024-07-19 14:10:37
OSMO/USDT,0.5237,2024-07-19 08:09:51,0.54,2024-07-19 16:03:10,0.5256,2024-07-19 08:00:00,2.44,2.07,Profit Reached,3,2024-07-19 16:03:10
PHB/USDT,1.704,2024-07-19 08:09:53,1.75,2024-07-19 13:55:35,1.717,2024-07-19 08:00:00,2.85,2.07,Profit Reached,2,2024-07-19 13:55:35
PIXEL/USDT,0.215,2024-07-19 08:10:53,0.22,2024-07-19 13:55:35,0.2172,2024-07-19 08:00:00,3.07,2.03,Profit Reached,2,2024-07-19 13:55:35
METIS/USDT,45.58,2024-07-19 08:10:57,46.69,2024-07-19 16:05:32,45.76,2024-07-19 08:00:00,2.44,2.03,Profit Reached,3,2024-07-19 16:05:32
ZIL/USDT,0.01731,2024-07-19 08:12:43,0.02,2024-07-19 14:05:33,0.01739,2024-07-19 08:00:00,2.6,2.13,Profit Reached,2,2024-07-19 14:05:33
MATIC/USDT,0.5109,2024-07-19 08:12:56,0.52,2024-07-19 16:02:05,0.513,2024-07-19 08:00:00,2.54,2.12,Profit Reached,3,2024-07-19 16:02:05
ATOM/USDT,6.256,2024-07-19 08:12:58,6.41,2024-07-19 14:20:37,6.279,2024-07-19 08:00:00,2.45,2.07,Profit Reached,2,2024-07-19 14:20:37
DOGE/USDT,0.11831,2024-07-19 08:13:03,0.12,2024-07-19 14:07:29,0.11917,2024-07-19 08:00:00,2.75,2.01,Profit Reached,2,2024-07-19 14:07:29
LTO/USDT,0.1144,2024-07-19 08:13:26,0.12,2024-07-19 13:58:18,0.1151,2024-07-19 08:00:00,2.71,2.09,Profit Reached,2,2024-07-19 13:58:18
ARDR/USDT,0.07078,2024-07-19 08:13:34,0.07,2024-07-19 09:06:03,0.07097,2024-07-19 08:00:00,2.51,2.24,Profit Reached,1,2024-07-19 09:06:03
DOT/USDT,6.057,2024-07-19 08:14:01,6.21,2024-07-19 13:55:35,6.091,2024-07-19 08:00:00,2.58,2.0,Profit Reached,2,2024-07-19 13:55:35
IOST/USDT,0.00623,2024-07-19 08:26:15,0.01,2024-07-19 20:08:51,0.00624,2024-07-19 08:00:00,2.25,2.08,Profit Reached,4,2024-07-19 20:08:51
ARDR/USDT,0.07041,2024-07-19 09:19:42,0.07,2024-07-20 01:41:19,0.07097,2024-07-19 08:00:00,2.83,2.01,Profit Reached,5,2024-07-20 01:41:19
XVS/USDT,6.87,2024-07-19 09:53:50,7.03,2024-07-19 13:50:36,6.89,2024-07-19 08:00:00,2.33,2.03,Profit Reached,2,2024-07-19 13:50:36
DENT/USDT,0.000947,2024-07-19 09:59:23,0.0,2024-07-19 19:23:31,0.000949,2024-07-19 08:00:00,2.22,2.0,Profit Reached,3,2024-07-19 19:23:31
WAXP/USDT,0.04031,2024-07-19 12:00:43,0.04,2024-07-19 13:25:05,0.04032,2024-07-19 12:00:00,2.11,2.08,Profit Reached,1,2024-07-19 13:25:05
STEEM/USDT,0.1973,2024-07-19 12:01:50,0.2,2024-07-19 16:00:55,0.1974,2024-07-19 12:00:00,2.08,2.03,Profit Reached,2,2024-07-19 16:00:55
CVC/USDT,0.1047,2024-07-19 12:05:18,0.11,2024-07-19 14:14:40,0.1048,2024-07-19 12:00:00,2.1,2.0,Profit Reached,1,2024-07-19 14:14:40
VITE/USDT,0.01558,2024-07-19 12:05:30,0.02,2024-07-19 15:48:28,0.01559,2024-07-19 12:00:00,2.18,2.12,Profit Reached,1,2024-07-19 15:48:28
POLS/USDT,0.318,2024-07-19 12:07:17,0.33,2024-07-19 22:28:39,0.321,2024-07-19 12:00:00,3.02,2.06,Profit Reached,3,2024-07-19 22:28:39
OP/USDT,1.827,2024-07-19 12:08:54,1.86,2024-07-19 14:15:49,1.828,2024-07-19 12:00:00,2.08,2.02,Profit Reached,1,2024-07-19 14:15:49
OGN/USDT,0.0943,2024-07-19 12:12:30,0.1,2024-07-19 14:05:33,0.0944,2024-07-19 12:00:00,2.12,2.01,Profit Reached,1,2024-07-19 14:05:33
MKR/USDT,2755.0,2024-07-19 12:12:51,2818.0,2024-07-19 14:20:37,2758.0,2024-07-19 12:00:00,2.29,2.18,Profit Reached,1,2024-07-19 14:20:37
SAND/USDT,0.3242,2024-07-19 12:13:06,0.33,2024-07-19 14:20:06,0.3248,2024-07-19 12:00:00,2.22,2.03,Profit Reached,1,2024-07-19 14:20:06
AVAX/USDT,26.82,2024-07-19 12:13:21,27.42,2024-07-19 14:09:22,26.85,2024-07-19 12:00:00,2.24,2.12,Profit Reached,1,2024-07-19 14:09:22
TKO/USDT,0.324,2024-07-19 12:14:02,0.33,2024-07-19 14:15:16,0.3246,2024-07-19 12:00:00,2.22,2.03,Profit Reached,1,2024-07-19 14:15:16
FARM/USDT,46.52,2024-07-19 12:21:17,47.47,2024-07-19 13:55:35,46.53,2024-07-19 12:00:00,2.04,2.02,Profit Reached,1,2024-07-19 13:55:35
ALPINE/USDT,1.358,2024-07-19 12:22:22,1.39,2024-07-19 15:04:37,1.359,2024-07-19 12:00:00,2.21,2.13,Profit Reached,1,2024-07-19 15:04:37
KMD/USDT,0.3176,2024-07-19 12:26:39,0.31,2024-07-20 12:00:06,0.3178,2024-07-19 12:00:00,-3.4,-3.46,Candles Exceeded,7,2024-07-20 12:00:06
PROM/USDT,7.024,2024-07-19 12:29:35,7.19,2024-07-19 14:26:09,7.043,2024-07-19 12:00:00,2.31,2.03,Profit Reached,1,2024-07-19 14:26:09
DATA/USDT,0.03786,2024-07-19 12:39:41,0.04,2024-07-19 14:06:12,0.03789,2024-07-19 12:00:00,2.09,2.01,Profit Reached,1,2024-07-19 14:06:12
FIRO/USDT,1.307,2024-07-19 12:40:50,1.34,2024-07-19 14:08:46,1.308,2024-07-19 12:00:00,2.45,2.37,Profit Reached,1,2024-07-19 14:08:46
BSW/USDT,0.0621,2024-07-19 12:42:38,0.06,2024-07-19 14:20:37,0.0622,2024-07-19 12:00:00,2.25,2.09,Profit Reached,1,2024-07-19 14:20:37
AR/USDT,29.995,2024-07-19 13:14:30,30.62,2024-07-19 13:41:16,30.001,2024-07-19 12:00:00,2.09,2.07,Profit Reached,1,2024-07-19 13:41:16
DIA/USDT,0.4286,2024-07-19 16:00:38,0.44,2024-07-19 21:46:25,0.4289,2024-07-19 16:00:00,2.08,2.01,Profit Reached,2,2024-07-19 21:46:25
T/USDT,0.02401,2024-07-19 16:39:20,0.02,2024-07-20 00:05:48,0.02403,2024-07-19 16:00:00,2.17,2.08,Profit Reached,3,2024-07-20 00:05:48
BADGER/USDT,3.348,2024-07-19 16:46:05,3.42,2024-07-19 20:45:39,3.355,2024-07-19 16:00:00,2.24,2.03,Profit Reached,2,2024-07-19 20:45:39
RUNE/USDT,4.673,2024-07-19 17:03:05,4.7,2024-07-20 16:00:28,4.678,2024-07-19 16:00:00,0.49,0.38,Candles Exceeded,7,2024-07-20 16:00:28
AI/USDT,0.632,2024-07-19 17:08:09,0.64,2024-07-20 16:00:28,0.634,2024-07-19 16:00:00,0.95,0.63,Candles Exceeded,7,2024-07-20 16:00:28
ACE/USDT,3.24,2024-07-19 17:17:05,3.21,2024-07-20 16:00:28,3.241,2024-07-19 16:00:00,-0.83,-0.86,Candles Exceeded,7,2024-07-20 16:00:28
SXP/USDT,0.2624,2024-07-19 18:05:45,0.26,2024-07-20 16:00:28,0.2626,2024-07-19 16:00:00,0.19,0.11,Candles Exceeded,7,2024-07-20 16:00:28
ONT/USDT,0.2115,2024-07-19 20:01:34,0.21,2024-07-20 20:00:26,0.2117,2024-07-19 20:00:00,-1.47,-1.56,Candles Exceeded,7,2024-07-20 20:00:26
DOCK/USDT,0.00636,2024-07-19 20:02:17,0.01,2024-07-19 20:22:49,0.00637,2024-07-19 20:00:00,2.36,2.2,Profit Reached,1,2024-07-19 20:22:49
CVC/USDT,0.1083,2024-07-19 20:02:21,0.11,2024-07-20 00:19:28,0.1085,2024-07-19 20:00:00,2.4,2.21,Profit Reached,2,2024-07-20 00:19:28
RVN/USDT,0.02042,2024-07-19 20:02:28,0.02,2024-07-20 20:00:26,0.02043,2024-07-19 20:00:00,-0.98,-1.03,Candles Exceeded,7,2024-07-20 20:00:26
ARPA/USDT,0.04436,2024-07-19 20:02:35,0.04,2024-07-20 20:00:26,0.04438,2024-07-19 20:00:00,0.45,0.41,Candles Exceeded,7,2024-07-20 20:00:26
VITE/USDT,0.01606,2024-07-19 20:02:43,0.02,2024-07-20 20:00:26,0.0161,2024-07-19 20:00:00,-0.93,-1.18,Candles Exceeded,7,2024-07-20 20:00:26
WRX/USDT,0.1392,2024-07-19 20:02:48,0.14,2024-07-20 20:00:26,0.1399,2024-07-19 20:00:00,-0.57,-1.07,Candles Exceeded,7,2024-07-20 20:00:26
BNT/USDT,0.6493,2024-07-19 20:02:51,0.64,2024-07-20 20:00:26,0.6497,2024-07-19 20:00:00,-0.68,-0.74,Candles Exceeded,7,2024-07-20 20:00:26
DATA/USDT,0.03921,2024-07-19 20:02:57,0.04,2024-07-20 20:00:26,0.03929,2024-07-19 20:00:00,1.4,1.2,Candles Exceeded,7,2024-07-20 20:00:26
CTSI/USDT,0.1668,2024-07-19 20:03:00,0.17,2024-07-20 19:29:18,0.167,2024-07-19 20:00:00,2.28,2.16,Profit Reached,6,2024-07-20 19:29:18
MDT/USDT,0.04611,2024-07-19 20:03:04,0.05,2024-07-20 20:00:26,0.04616,2024-07-19 20:00:00,0.63,0.52,Candles Exceeded,7,2024-07-20 20:00:26
EGLD/USDT,36.19,2024-07-19 20:03:41,36.34,2024-07-20 20:00:26,36.25,2024-07-19 20:00:00,0.41,0.25,Candles Exceeded,7,2024-07-20 20:00:26
AXS/USDT,6.282,2024-07-19 20:04:09,6.42,2024-07-20 19:11:30,6.29,2024-07-19 20:00:00,2.15,2.02,Profit Reached,6,2024-07-20 19:11:30
ROSE/USDT,0.09421,2024-07-19 20:04:15,0.09,2024-07-20 20:00:26,0.09425,2024-07-19 20:00:00,0.48,0.44,Candles Exceeded,7,2024-07-20 20:00:26
OG/USDT,3.347,2024-07-19 20:04:26,3.38,2024-07-20 20:00:26,3.36,2024-07-19 20:00:00,0.93,0.54,Candles Exceeded,7,2024-07-20 20:00:26
CKB/USDT,0.011938,2024-07-19 20:04:32,0.01,2024-07-20 03:31:43,0.011955,2024-07-19 20:00:00,2.24,2.1,Profit Reached,2,2024-07-20 03:31:43
CLV/USDT,0.05388,2024-07-19 20:05:27,0.05,2024-07-20 20:00:26,0.05405,2024-07-19 20:00:00,-0.72,-1.04,Candles Exceeded,7,2024-07-20 20:00:26
SYS/USDT,0.1184,2024-07-19 20:05:58,0.12,2024-07-20 20:00:26,0.1187,2024-07-19 20:00:00,0.17,-0.08,Candles Exceeded,7,2024-07-20 20:00:26
BETA/USDT,0.05557,2024-07-19 20:06:07,0.05,2024-07-20 20:00:26,0.05562,2024-07-19 20:00:00,-1.91,-2.0,Candles Exceeded,7,2024-07-20 20:00:26
AUCTION/USDT,16.11,2024-07-19 20:06:14,16.45,2024-07-20 15:08:33,16.12,2024-07-19 20:00:00,2.11,2.05,Profit Reached,5,2024-07-20 15:08:33
CVX/USDT,2.584,2024-07-19 20:06:43,2.64,2024-07-19 23:10:41,2.59,2024-07-19 20:00:00,2.32,2.08,Profit Reached,1,2024-07-19 23:10:41
XAI/USDT,0.388,2024-07-19 20:08:47,0.38,2024-07-20 20:00:26,0.3881,2024-07-19 20:00:00,-2.16,-2.19,Candles Exceeded,7,2024-07-20 20:00:26
LIT/USDT,0.784,2024-07-19 20:13:27,0.8,2024-07-20 09:42:47,0.785,2024-07-19 20:00:00,2.3,2.17,Profit Reached,4,2024-07-20 09:42:47
HIFI/USDT,0.4886,2024-07-19 20:16:19,0.5,2024-07-20 00:20:17,0.4889,2024-07-19 20:00:00,2.07,2.0,Profit Reached,2,2024-07-20 00:20:17
PYTH/USDT,0.3598,2024-07-19 20:17:36,0.37,2024-07-20 15:26:31,0.3607,2024-07-19 20:00:00,2.31,2.05,Profit Reached,5,2024-07-20 15:26:31
HOOK/USDT,0.5532,2024-07-19 20:24:53,0.54,2024-07-20 20:00:26,0.5537,2024-07-19 20:00:00,-2.46,-2.55,Candles Exceeded,7,2024-07-20 20:00:26
MAGIC/USDT,0.5415,2024-07-19 20:24:55,0.54,2024-07-20 20:00:26,0.5417,2024-07-19 20:00:00,-0.41,-0.44,Candles Exceeded,7,2024-07-20 20:00:26
PROM/USDT,7.29,2024-07-19 20:25:11,7.29,2024-07-20 20:00:26,7.292,2024-07-19 20:00:00,-0.04,-0.07,Candles Exceeded,7,2024-07-20 20:00:26
IOST/USDT,0.00634,2024-07-19 20:28:17,0.01,2024-07-20 20:00:26,0.00635,2024-07-19 20:00:00,0.32,0.16,Candles Exceeded,7,2024-07-20 20:00:26
LAZIO/USDT,1.495,2024-07-19 20:32:13,1.53,2024-07-20 03:39:03,1.496,2024-07-19 20:00:00,2.21,2.14,Profit Reached,2,2024-07-20 03:39:03
GMT/USDT,0.1596,2024-07-19 20:33:04,0.16,2024-07-20 20:00:26,0.1597,2024-07-19 20:00:00,-0.63,-0.69,Candles Exceeded,7,2024-07-20 20:00:26
DEGO/USDT,1.695,2024-07-19 20:47:52,1.66,2024-07-20 20:00:26,1.696,2024-07-19 20:00:00,-2.06,-2.12,Candles Exceeded,7,2024-07-20 20:00:26
DOCK/USDT,0.0063,2024-07-19 22:36:02,0.01,2024-07-20 07:11:38,0.00637,2024-07-19 20:00:00,3.49,2.35,Profit Reached,3,2024-07-20 07:11:38
DIA/USDT,0.4348,2024-07-19 22:54:11,0.43,2024-07-20 20:00:26,0.4356,2024-07-19 20:00:00,-2.23,-2.41,Candles Exceeded,7,2024-07-20 20:00:26
MDX/USDT,0.03714,2024-07-20 00:03:32,0.04,2024-07-20 01:37:38,0.03731,2024-07-20 00:00:00,3.04,2.57,Profit Reached,1,2024-07-20 01:37:38
WAXP/USDT,0.04164,2024-07-20 00:04:04,0.04,2024-07-21 00:00:28,0.04187,2024-07-20 00:00:00,0.05,-0.5,Candles Exceeded,7,2024-07-21 00:00:28
AGLD/USDT,0.998,2024-07-20 00:04:24,1.02,2024-07-20 16:09:15,1.0,2024-07-20 00:00:00,2.3,2.1,Profit Reached,5,2024-07-20 16:09:15
MOVR/USDT,11.366,2024-07-20 00:04:34,11.62,2024-07-20 08:01:15,11.385,2024-07-20 00:00:00,2.24,2.07,Profit Reached,3,2024-07-20 08:01:15
CVX/USDT,2.594,2024-07-20 00:04:59,2.53,2024-07-21 00:00:01,2.595,2024-07-20 00:00:00,-2.35,-2.39,Candles Exceeded,7,2024-07-21 00:00:01
STEEM/USDT,0.2024,2024-07-20 00:05:26,0.2,2024-07-21 00:00:01,0.2033,2024-07-20 00:00:00,0.89,0.44,Candles Exceeded,7,2024-07-21 00:00:01
