coin,buy_price,buy_date,sell_price,sell_date,previous_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
BAR/USDT,1.952,2024-07-18 15:38:42,1.98,2024-07-18 23:35:57,1.974,2024-07-18 00:00:00,1.18,0.05,Profit Reached,1,2024-07-18 23:35:57
GTC/USDT,0.858,2024-07-18 15:56:33,0.86,2024-07-18 23:59:54,0.869,2024-07-18 00:00:00,0.12,-1.15,Candles Exceeded,2,2024-07-18 23:59:54
AERGO/USDT,0.0958,2024-07-18 15:59:09,0.1,2024-07-18 23:33:43,0.0968,2024-07-18 00:00:00,1.15,0.1,Profit Reached,1,2024-07-18 23:33:43
CTXC/USDT,0.1607,2024-07-18 16:02:45,0.16,2024-07-18 16:38:23,0.1627,2024-07-18 00:00:00,1.31,0.06,Profit Reached,1,2024-07-18 16:38:23
BNT/USDT,0.6176,2024-07-18 16:02:56,0.62,2024-07-18 16:09:56,0.624,2024-07-18 00:00:00,1.15,0.11,Profit Reached,1,2024-07-18 16:09:56
SNX/USDT,1.896,2024-07-18 16:03:18,1.93,2024-07-18 16:59:55,1.928,2024-07-18 00:00:00,1.74,0.05,Profit Reached,1,2024-07-18 16:59:55
DIA/USDT,0.4109,2024-07-18 16:03:48,0.42,2024-07-18 16:59:55,0.4166,2024-07-18 00:00:00,1.51,0.12,Profit Reached,1,2024-07-18 16:59:55
OXT/USDT,0.0819,2024-07-18 16:03:56,0.08,2024-07-18 16:47:29,0.0833,2024-07-18 00:00:00,1.83,0.12,Profit Reached,1,2024-07-18 16:47:29
JOE/USDT,0.3389,2024-07-18 16:06:45,0.34,2024-07-18 16:19:45,0.3424,2024-07-18 00:00:00,1.06,0.03,Profit Reached,1,2024-07-18 16:19:45
CITY/USDT,2.243,2024-07-18 17:33:20,2.23,2024-07-18 23:59:54,2.266,2024-07-18 00:00:00,-0.76,-1.77,Candles Exceeded,2,2024-07-18 23:59:54
OXT/USDT,0.0822,2024-07-18 17:48:28,0.08,2024-07-18 22:44:32,0.0833,2024-07-18 00:00:00,1.46,0.12,Profit Reached,1,2024-07-18 22:44:32
DIA/USDT,0.412,2024-07-18 18:05:46,0.42,2024-07-18 23:26:14,0.4166,2024-07-18 00:00:00,1.17,0.05,Profit Reached,1,2024-07-18 23:26:14
CTXC/USDT,0.1608,2024-07-18 18:39:29,0.16,2024-07-18 20:57:55,0.1627,2024-07-18 00:00:00,1.49,0.31,Profit Reached,1,2024-07-18 20:57:55
SNX/USDT,1.908,2024-07-18 18:40:01,1.93,2024-07-18 23:40:23,1.928,2024-07-18 00:00:00,1.1,0.05,Profit Reached,1,2024-07-18 23:40:23
BNT/USDT,0.6177,2024-07-18 19:05:37,0.62,2024-07-18 21:35:03,0.624,2024-07-18 00:00:00,1.1,0.08,Profit Reached,1,2024-07-18 21:35:03
BB/USDT,0.4788,2024-07-19 00:16:49,0.48,2024-07-20 00:00:02,0.4847,2024-07-19 00:00:00,0.71,-0.52,Candles Exceeded,2,2024-07-20 00:00:02
VET/USDT,0.03005,2024-07-19 00:18:20,0.03,2024-07-19 03:22:02,0.03036,2024-07-19 00:00:00,1.13,0.1,Profit Reached,1,2024-07-19 03:22:02
SHIB/USDT,1.712e-05,2024-07-19 00:21:59,0.0,2024-07-19 03:23:07,1.739e-05,2024-07-19 00:00:00,1.64,0.06,Profit Reached,1,2024-07-19 03:23:07
JASMY/USDT,0.02762,2024-07-19 00:23:23,0.03,2024-07-19 03:17:08,0.02795,2024-07-19 00:00:00,1.27,0.07,Profit Reached,1,2024-07-19 03:17:08
UTK/USDT,0.05253,2024-07-19 00:30:19,0.05,2024-07-19 04:03:35,0.05313,2024-07-19 00:00:00,1.18,0.04,Profit Reached,1,2024-07-19 04:03:35
ILV/USDT,72.01,2024-07-19 00:32:20,72.28,2024-07-20 00:00:02,72.81,2024-07-19 00:00:00,0.37,-0.73,Candles Exceeded,2,2024-07-20 00:00:02
REI/USDT,0.05461,2024-07-19 00:33:41,0.06,2024-07-19 18:11:53,0.05519,2024-07-19 00:00:00,1.08,0.02,Profit Reached,1,2024-07-19 18:11:53
IDEX/USDT,0.04231,2024-07-19 00:41:40,0.04,2024-07-19 03:22:34,0.04274,2024-07-19 00:00:00,1.09,0.07,Profit Reached,1,2024-07-19 03:22:34
CREAM/USDT,42.89,2024-07-19 00:44:14,43.4,2024-07-19 04:05:39,43.39,2024-07-19 00:00:00,1.19,0.02,Profit Reached,1,2024-07-19 04:05:39
COS/USDT,0.008053,2024-07-19 00:47:15,0.01,2024-07-19 03:19:15,0.008142,2024-07-19 00:00:00,1.15,0.05,Profit Reached,1,2024-07-19 03:19:15
CTXC/USDT,0.1656,2024-07-19 00:47:42,0.17,2024-07-19 07:15:28,0.1674,2024-07-19 00:00:00,1.45,0.36,Profit Reached,1,2024-07-19 07:15:28
BCH/USDT,376.9,2024-07-19 00:47:43,382.9,2024-07-19 14:05:44,382.8,2024-07-19 00:00:00,1.59,0.03,Profit Reached,1,2024-07-19 14:05:44
KNC/USDT,0.5481,2024-07-19 00:48:12,0.55,2024-07-19 03:17:08,0.5541,2024-07-19 00:00:00,1.13,0.04,Profit Reached,1,2024-07-19 03:17:08
IRIS/USDT,0.01375,2024-07-19 00:48:33,0.01,2024-07-19 03:40:30,0.01391,2024-07-19 00:00:00,1.38,0.22,Profit Reached,1,2024-07-19 03:40:30
DYDX/USDT,1.364,2024-07-19 00:51:02,1.38,2024-07-19 03:41:00,1.379,2024-07-19 00:00:00,1.17,0.07,Profit Reached,1,2024-07-19 03:41:00
VIDT/USDT,0.02175,2024-07-19 00:51:03,0.02,2024-07-19 03:59:22,0.02203,2024-07-19 00:00:00,1.33,0.05,Profit Reached,1,2024-07-19 03:59:22
CVP/USDT,0.2217,2024-07-19 00:51:14,0.22,2024-07-19 02:02:02,0.2241,2024-07-19 00:00:00,1.26,0.18,Profit Reached,1,2024-07-19 02:02:02
ENS/USDT,25.7,2024-07-19 00:51:31,26.07,2024-07-19 06:08:22,26.02,2024-07-19 00:00:00,1.44,0.19,Profit Reached,1,2024-07-19 06:08:22
SANTOS/USDT,2.765,2024-07-19 00:51:44,2.8,2024-07-19 03:20:24,2.8,2024-07-19 00:00:00,1.3,0.04,Profit Reached,1,2024-07-19 03:20:24
OOKI/USDT,0.001689,2024-07-19 00:51:55,0.0,2024-07-19 03:41:28,0.001708,2024-07-19 00:00:00,1.24,0.12,Profit Reached,1,2024-07-19 03:41:28
LDO/USDT,1.888,2024-07-19 00:52:26,1.92,2024-07-19 02:02:22,1.916,2024-07-19 00:00:00,1.54,0.05,Profit Reached,1,2024-07-19 02:02:22
LUNC/USDT,8.679e-05,2024-07-19 00:52:33,0.0,2024-07-19 03:40:15,8.771e-05,2024-07-19 00:00:00,1.09,0.03,Profit Reached,1,2024-07-19 03:40:15
PROS/USDT,0.3714,2024-07-19 00:52:47,0.38,2024-07-19 03:40:15,0.3754,2024-07-19 00:00:00,1.13,0.05,Profit Reached,1,2024-07-19 03:40:15
AST/USDT,0.0923,2024-07-19 00:53:20,0.09,2024-07-19 03:19:50,0.0933,2024-07-19 00:00:00,1.3,0.21,Profit Reached,1,2024-07-19 03:19:50
ORDI/USDT,36.55,2024-07-19 00:53:42,37.06,2024-07-19 03:18:22,37.05,2024-07-19 00:00:00,1.4,0.03,Profit Reached,1,2024-07-19 03:18:22
ETHFI/USDT,2.272,2024-07-19 00:54:22,2.3,2024-07-19 01:37:55,2.301,2024-07-19 00:00:00,1.36,0.09,Profit Reached,1,2024-07-19 01:37:55
CVC/USDT,0.1044,2024-07-19 00:56:42,0.11,2024-07-19 01:39:35,0.1059,2024-07-19 00:00:00,1.92,0.47,Profit Reached,1,2024-07-19 01:39:35
LUNA/USDT,0.4264,2024-07-19 00:57:54,0.43,2024-07-19 03:18:57,0.4311,2024-07-19 00:00:00,1.15,0.05,Profit Reached,1,2024-07-19 03:18:57
SCRT/USDT,0.2762,2024-07-19 01:01:11,0.28,2024-07-19 03:24:07,0.2794,2024-07-19 00:00:00,1.27,0.11,Profit Reached,1,2024-07-19 03:24:07
BSW/USDT,0.0618,2024-07-19 01:01:27,0.06,2024-07-19 03:20:07,0.0625,2024-07-19 00:00:00,1.29,0.16,Profit Reached,1,2024-07-19 03:20:07
IOST/USDT,0.00607,2024-07-19 01:05:11,0.01,2024-07-19 03:05:00,0.00617,2024-07-19 00:00:00,1.81,0.16,Profit Reached,1,2024-07-19 03:05:00
ORN/USDT,1.4914,2024-07-19 01:07:13,1.51,2024-07-19 03:52:40,1.5076,2024-07-19 00:00:00,1.1,0.01,Profit Reached,1,2024-07-19 03:52:40
ICP/USDT,9.552,2024-07-19 01:08:26,9.68,2024-07-19 03:45:35,9.674,2024-07-19 00:00:00,1.29,0.01,Profit Reached,1,2024-07-19 03:45:35
PHA/USDT,0.1272,2024-07-19 01:08:40,0.13,2024-07-19 02:03:21,0.1286,2024-07-19 00:00:00,1.18,0.08,Profit Reached,1,2024-07-19 02:03:21
MBOX/USDT,0.2335,2024-07-19 01:08:57,0.24,2024-07-19 03:23:07,0.2368,2024-07-19 00:00:00,1.54,0.13,Profit Reached,1,2024-07-19 03:23:07
VGX/USDT,0.0749,2024-07-19 01:09:38,0.08,2024-07-19 03:44:41,0.0757,2024-07-19 00:00:00,1.2,0.13,Profit Reached,1,2024-07-19 03:44:41
APE/USDT,0.793,2024-07-19 01:10:16,0.81,2024-07-19 03:12:27,0.806,2024-07-19 00:00:00,1.77,0.12,Profit Reached,1,2024-07-19 03:12:27
TIA/USDT,6.106,2024-07-19 01:11:31,6.21,2024-07-19 03:59:47,6.195,2024-07-19 00:00:00,1.64,0.18,Profit Reached,1,2024-07-19 03:59:47
AVAX/USDT,26.86,2024-07-19 01:16:02,27.15,2024-07-19 03:14:20,27.14,2024-07-19 00:00:00,1.08,0.04,Profit Reached,1,2024-07-19 03:14:20
FOR/USDT,0.01398,2024-07-19 02:27:26,0.01,2024-07-19 10:49:30,0.01413,2024-07-19 00:00:00,1.14,0.07,Profit Reached,1,2024-07-19 10:49:30
CVP/USDT,0.2217,2024-07-19 02:36:27,0.22,2024-07-19 03:11:48,0.2241,2024-07-19 00:00:00,1.13,0.04,Profit Reached,1,2024-07-19 03:11:48
ICP/USDT,9.558,2024-07-19 04:24:14,9.68,2024-07-19 13:39:59,9.674,2024-07-19 00:00:00,1.29,0.07,Profit Reached,1,2024-07-19 13:39:59
TIA/USDT,6.131,2024-07-19 04:55:44,6.2,2024-07-19 06:01:07,6.195,2024-07-19 00:00:00,1.08,0.03,Profit Reached,1,2024-07-19 06:01:07
ORDI/USDT,36.64,2024-07-19 05:05:14,37.06,2024-07-19 06:08:22,37.05,2024-07-19 00:00:00,1.15,0.03,Profit Reached,1,2024-07-19 06:08:22
LUNA/USDT,0.4266,2024-07-19 05:18:56,0.43,2024-07-19 06:16:01,0.4311,2024-07-19 00:00:00,1.17,0.12,Profit Reached,1,2024-07-19 06:16:01
LUNC/USDT,8.662e-05,2024-07-19 05:22:50,0.0,2024-07-19 06:08:22,8.771e-05,2024-07-19 00:00:00,1.32,0.06,Profit Reached,1,2024-07-19 06:08:22
CREAM/USDT,42.91,2024-07-19 05:33:14,43.47,2024-07-19 16:03:32,43.39,2024-07-19 00:00:00,1.31,0.18,Profit Reached,1,2024-07-19 16:03:32
LUNA/USDT,0.4233,2024-07-19 07:12:00,0.43,2024-07-19 10:48:02,0.4311,2024-07-19 00:00:00,1.98,0.14,Profit Reached,1,2024-07-19 10:48:02
ORDI/USDT,36.64,2024-07-19 07:17:09,37.06,2024-07-19 14:08:20,37.05,2024-07-19 00:00:00,1.15,0.03,Profit Reached,1,2024-07-19 14:08:20
LUNC/USDT,8.676e-05,2024-07-19 07:25:19,0.0,2024-07-19 10:48:19,8.771e-05,2024-07-19 00:00:00,1.63,0.52,Profit Reached,1,2024-07-19 10:48:19
LDO/USDT,1.894,2024-07-19 07:34:31,1.92,2024-07-19 11:15:51,1.916,2024-07-19 00:00:00,1.58,0.42,Profit Reached,1,2024-07-19 11:15:51
SHIB/USDT,1.718e-05,2024-07-19 07:41:42,0.0,2024-07-19 13:39:26,1.739e-05,2024-07-19 00:00:00,1.34,0.12,Profit Reached,1,2024-07-19 13:39:26
ENS/USDT,25.71,2024-07-19 07:42:54,26.05,2024-07-19 13:56:01,26.02,2024-07-19 00:00:00,1.32,0.12,Profit Reached,1,2024-07-19 13:56:01
LTC/USDT,70.83,2024-07-19 07:47:07,71.65,2024-07-19 14:10:05,71.63,2024-07-19 00:00:00,1.16,0.03,Profit Reached,1,2024-07-19 14:10:05
AVAX/USDT,26.83,2024-07-19 07:49:43,27.16,2024-07-19 13:50:20,27.14,2024-07-19 00:00:00,1.23,0.07,Profit Reached,1,2024-07-19 13:50:20
TIA/USDT,6.127,2024-07-19 07:54:18,6.2,2024-07-19 08:56:32,6.195,2024-07-19 00:00:00,1.14,0.03,Profit Reached,1,2024-07-19 08:56:32
UTK/USDT,0.05256,2024-07-19 07:58:59,0.05,2024-07-19 13:01:29,0.05313,2024-07-19 00:00:00,1.14,0.06,Profit Reached,1,2024-07-19 13:01:29
DYDX/USDT,1.36,2024-07-19 08:10:05,1.38,2024-07-19 13:39:26,1.379,2024-07-19 00:00:00,1.47,0.07,Profit Reached,1,2024-07-19 13:39:26
VIDT/USDT,0.02173,2024-07-19 08:10:07,0.02,2024-07-19 13:47:39,0.02203,2024-07-19 00:00:00,1.47,0.09,Profit Reached,1,2024-07-19 13:47:39
VGX/USDT,0.0748,2024-07-19 08:10:42,0.08,2024-07-19 14:00:17,0.0757,2024-07-19 00:00:00,1.34,0.13,Profit Reached,1,2024-07-19 14:00:17
JASMY/USDT,0.02767,2024-07-19 08:10:43,0.03,2024-07-19 08:44:05,0.02795,2024-07-19 00:00:00,1.05,0.04,Profit Reached,1,2024-07-19 08:44:05
PROS/USDT,0.3714,2024-07-19 08:11:50,0.38,2024-07-19 09:08:54,0.3754,2024-07-19 00:00:00,1.1,0.03,Profit Reached,1,2024-07-19 09:08:54
CTXC/USDT,0.1652,2024-07-19 08:16:02,0.17,2024-07-19 19:25:07,0.1674,2024-07-19 00:00:00,1.51,0.18,Profit Reached,1,2024-07-19 19:25:07
IDEX/USDT,0.04227,2024-07-19 08:19:15,0.04,2024-07-19 13:56:15,0.04274,2024-07-19 00:00:00,1.21,0.09,Profit Reached,1,2024-07-19 13:56:15
SCRT/USDT,0.2764,2024-07-19 08:20:15,0.28,2024-07-19 13:48:09,0.2794,2024-07-19 00:00:00,1.12,0.04,Profit Reached,1,2024-07-19 13:48:09
KNC/USDT,0.5485,2024-07-19 08:25:33,0.55,2024-07-19 12:31:07,0.5541,2024-07-19 00:00:00,1.04,0.02,Profit Reached,1,2024-07-19 12:31:07
SANTOS/USDT,2.763,2024-07-19 09:31:54,2.8,2024-07-19 13:04:37,2.8,2024-07-19 00:00:00,1.48,0.14,Profit Reached,1,2024-07-19 13:04:37
ETHFI/USDT,2.275,2024-07-19 09:34:25,2.3,2024-07-19 13:39:26,2.301,2024-07-19 00:00:00,1.27,0.13,Profit Reached,1,2024-07-19 13:39:26
TIA/USDT,6.123,2024-07-19 09:42:46,6.2,2024-07-19 14:02:49,6.195,2024-07-19 00:00:00,1.26,0.08,Profit Reached,1,2024-07-19 14:02:49
PROS/USDT,0.3714,2024-07-19 09:50:54,0.38,2024-07-19 12:03:35,0.3754,2024-07-19 00:00:00,1.29,0.21,Profit Reached,1,2024-07-19 12:03:35
COS/USDT,0.008057,2024-07-19 09:54:36,0.01,2024-07-19 14:06:09,0.008142,2024-07-19 00:00:00,1.09,0.04,Profit Reached,1,2024-07-19 14:06:09
BSW/USDT,0.0618,2024-07-19 09:59:26,0.06,2024-07-19 13:36:39,0.0625,2024-07-19 00:00:00,1.29,0.16,Profit Reached,1,2024-07-19 13:36:39
CVC/USDT,0.1043,2024-07-19 10:03:42,0.11,2024-07-19 13:46:09,0.1059,2024-07-19 00:00:00,1.63,0.09,Profit Reached,1,2024-07-19 13:46:09
CVP/USDT,0.2205,2024-07-19 10:51:45,0.22,2024-07-19 10:52:22,0.2241,2024-07-19 00:00:00,2.0,0.36,Profit Reached,1,2024-07-19 10:52:22
OOKI/USDT,0.001687,2024-07-19 11:10:12,0.0,2024-07-19 13:57:22,0.001708,2024-07-19 00:00:00,1.3,0.06,Profit Reached,1,2024-07-19 13:57:22
